sample,sampling,name,area,Rock_age,domain,field_pH,latitude_longitude,Rock_Sample_Name,Al_coarse_fraction_percent,Al_fine_fraction_percent,As_coarse_fraction_mg_kg,As_fine_fraction_mg_kg,Ba_coarse_fraction_mg_kg,Ba_fine_fraction_mg_kg,Be_coarse_fraction_mg_kg,Be_fine_fraction_mg_kg,Ca_coarse_fraction_percent,Ca_fine_fraction_percent,Cd_coarse_fraction_mg_kg,Cd_fine_fraction_mg_kg,Co_coarse_fraction_mg_kg,Co_fine_fraction_mg_kg,Cr_coarse_fraction_mg_kg,Cr_fine_fraction_mg_kg,Cu_coarse_fraction_mg_kg,Cu_fine_fraction_mg_kg,Fe_coarse_fraction_percent,Fe_fine_fraction_percent,Hg_coarse_fraction_mg_kg,Hg_fine_fraction_mg_kg,K_coarse_fraction_percent,K_fine_fraction_percent,Mg_coarse_fraction_percent,Mg_fine_fraction_percent,Mn_coarse_fraction_mg_kg,Mn_fine_fraction_mg_kg,Mo_coarse_fraction_mg_kg,Mo_fine_fraction_mg_kg,Na_coarse_fraction_percent,Na_fine_fraction_percent,Nb_coarse_fraction_mg_kg,Nb_fine_fraction_mg_kg,Ni_coarse_fraction_mg_kg,Ni_fine_fraction_mg_kg,P_coarse_fraction_mg_kg,P_fine_fraction_mg_kg,Pb_coarse_fraction_mg_kg,Pb_fine_fraction_mg_kg,S_coarse_fraction_percent,S_fine_fraction_percent,Sb_coarse_fraction_mg_kg,Sb_fine_fraction_mg_kg,Sc_coarse_fraction_mg_kg,Sc_fine_fraction_mg_kg,Si_coarse_fraction_percent,Si_fine_fraction_percent,Sn_coarse_fraction_mg_kg,Sn_fine_fraction_mg_kg,Sr_coarse_fraction_mg_kg,Sr_fine_fraction_mg_kg,Ti_coarse_fraction_mg_kg,Ti_fine_fraction_percent,V_coarse_fraction_mg_kg,V_fine_fraction_mg_kg,W_coarse_fraction_mg_kg,W_fine_fraction_mg_kg,Y_coarse_fraction_mg_kg,Y_fine_fraction_mg_kg,Zn_coarse_fraction_mg_kg,Zn_fine_fraction_mg_kg,Zr_coarse_fraction_mg_kg,Zr_fine_fraction_mg_kg,Unnacounted_coarse_fraction_percent,Unnacounted_fine_fraction_percent,LOI_coarse_fraction_mg_kg,LOI_fine_fraction_mg_kg,Fe_S_molar_ratio_coarse_fraction,Fe_S_molar_ratio_fine_fraction
P28660_2001,1,Bact.1.1,1,old,bacteria,4.87, 65° 4.324'N  18° 34.599'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2002,1,Bact.1.2,1,old,bacteria,5.28, 65° 4.324'N  18° 34.599'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2003,1,Bact.1.3,1,old,bacteria,5.6, 65° 4.324'N  18° 34.599'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2004,1,Bact.2.1,1,old,bacteria,5.55, 65° 4.330'N  18° 34.626'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2005,1,Bact.2.2,1,old,bacteria,4.65, 65° 4.330'N  18° 34.626'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2006,1,Bact.2.3,1,old,bacteria,5.38, 65° 4.330'N  18° 34.626'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2007,1,Bact.3.1,1,old,bacteria,3.6, 65° 4.342'N  18° 34.634'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2008,1,Bact.3.2,1,old,bacteria,4.4, 65° 4.342'N  18° 34.634'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2009,1,Bact.3.3,1,old,bacteria,3.4, 65° 4.342'N  18° 34.634'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2010,1,Bact.4.1,1,old,bacteria,3.9, 65° 4.346'N  18° 34.651'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2011,1,Bact.4.2,1,old,bacteria,4.8, 65° 4.346'N  18° 34.651'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2012,1,Bact.4.3,1,old,bacteria,5.2, 65° 4.346'N  18° 34.651'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2013,1,Bact.5.1,1,old,bacteria,5.2, 65° 4.356'N  18° 34.662'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2014,1,Bact.5.2,1,old,bacteria,5.3, 65° 4.356'N  18° 34.662'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28660_2015,1,Bact.5.3,1,old,bacteria,5.6, 65° 4.356'N  18° 34.662'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
