seqid	P28660_2001	P28660_2002	P28660_2003	P28660_2004	P28660_2005	P28660_2006	P28660_2007	P28660_2008	P28660_2009	P28660_2010	P28660_2011	P28660_2012	P28660_2013	P28660_2014	P28660_2015	P28660_2016	P28660_2017	P28660_2018	P28660_2019	P28660_2020	P28660_2021	P28660_2022	P28660_2023	P28660_2024	P28660_2028	P28660_2029	P28660_2030	P28660_2031	P28660_2032	P28660_2033	P28660_2034	P28660_2035	P28660_2036	P28660_2037	P28660_2038	P28660_2039	P28660_2040	P28660_2041	P28660_2042	P28660_2043	P28660_2044	P28660_2045	P28660_2046	P28660_2047	P28660_2048	P28660_2049	P28660_2050	P28660_2051	P28660_2052	P28660_2053	P28660_2054	P28660_2055	P28660_2056	P28660_2057	P28660_2058	P28660_2059	P28660_2060	P28660_2061	P28660_2062	P28660_2063	P28660_2064	P28660_2065	P28660_2066	P28660_2067	P28660_2068	P28660_2069	P28660_2070	P28660_2071	P28660_2075	P28660_2076	P28660_2077	P28660_2078	P28660_2079	P28660_2080	P28660_2081	P28660_2082	P28660_2083	P28660_2084	P28660_2085	P28660_2086	P28660_2087	P28660_2088	P28660_2089	P28660_2090	P28660_2091	P28660_2092	P28660_2093	P28660_2094
ab28e8e0167408b105dd0de6e58afc06	26	0	0	0	15	0	16	16	9	0	0	0	0	4	0	13	0	0	0	0	13	9	12	26	0	0	0	0	17	22	956	2179	20505	79753	50064	118051	176076	167901	672	1898	0	58948	2693	0	21	514	0	0	0	185	0	0	0	1205	6	33	0	418	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
8ca32fead1d1f40cffd3ecb165ca4d09	28	6	3	7	3	12	6	0	258	0	0	37	0	216	762	0	7	0	584	822	714	30	0	0	3447	30074	173496	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9a0b70e6fac3a72fee23b067934e9076	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	3	0	3	0	0	9	0	0	0	0	379	1538	5785	18470	11331	37027	56521	57422	266	1263	0	16619	640	7	0	178	0	5	0	60	5	0	0	371	0	6	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
15eada29de2fb2118f6f06c0e9c4b41d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	427	6174	19696	9187	26656	35110	39213	235	814	0	17447	695	0	0	101	0	0	0	56	0	0	0	238	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ad4fe93f80cf1ee9cdc926773154ee9	3219	2926	602	564	3250	251	7457	1371	7785	7589	6202	7990	8821	4805	8331	1492	5894	2925	4015	19118	39551	0	0	8	54	4741	653	377	4745	163	221	89	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3347463da59b507f43d6718f1bff0322	25	0	0	0	26	0	23	0	0	0	0	0	47	31	0	10	128	13	0	0	0	0	0	0	28226	90363	1091	13031	43	149	0	0	0	0	0	0	0	0	0	271	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cef3ec95c42142ef2745214b8b46a46c	2093	696	8753	3730	9271	4981	0	0	10	26808	23732	15095	693	134	0	869	19	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0d8975fee656ebd3c2ca15156ffcc7b	3872	11076	3531	1159	6900	4908	35	0	14	14815	23339	3884	1333	8883	73	1336	8372	2617	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8765d8655436cec101ddbcedcb16bfa9	279	625	121	33	1500	0	740	0	0	439	2547	527	22894	1621	10673	822	2231	397	3671	30325	13066	0	0	0	0	0	0	192	771	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b9391966f48ac2b5f5c205b8ad94cb9c	90	22	28	0	0	0	0	0	0	0	0	62	22	50	1020	64	525	178	85	143	274	0	0	0	6697	33300	44371	0	0	119	0	0	0	0	4	0	0	20	131	230	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
