seqid	P29902_1001	P29902_1002	P29902_1003	P29902_1004	P29902_1005	P29902_1006	P29902_1007	P29902_1008	P29902_1009	P29902_1010	P29902_1011	P29902_1012	P29902_1013	P29902_1014	P29902_1015	P29902_1016	P29902_1017	P29902_1018	P29902_1019	P29902_1020	P29902_1021	P29902_1022	P29902_1023	P29902_1024	P29902_1028	P29902_1029	P29902_1030	P29902_1031	P29902_1032	P29902_1033	P29902_1034	P29902_1035	P29902_1036	P29902_1037	P29902_1038	P29902_1039	P29902_1040	P29902_1041	P29902_1042	P29902_1043	P29902_1044	P29902_1045	P29902_1046	P29902_1047	P29902_1048	P29902_1049	P29902_1050	P29902_1051	P29902_1052	P29902_1053	P29902_1054	P29902_1055	P29902_1056	P29902_1057	P29902_1058	P29902_1059	P29902_1060	P29902_1061	P29902_1062	P29902_1063	P29902_1064	P29902_1066	P29902_1067	P29902_1068	P29902_1070	P29902_1075	P29902_1076	P29902_1077	P29902_1078	P29902_1079	P29902_1080	P29902_1087	P29902_1088	P29902_1089	P29902_1090	P29902_1092	P29902_1093
8ca32fead1d1f40cffd3ecb165ca4d09	0	8	121	9	0	0	0	0	116	0	0	0	99	44	0	0	3	0	214	15	22	18	0	0	15217	30383	89276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ad4fe93f80cf1ee9cdc926773154ee9	852	919	1077	3516	353	382	1334	1966	2311	1220	3332	2808	18132	16840	7380	623	4774	2752	8481	10281	1279	0	0	0	948	14098	5122	327	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3347463da59b507f43d6718f1bff0322	0	0	100	22	0	0	10	0	0	0	0	0	145	39	12	0	36	9	0	0	0	0	14	0	25640	49841	903	28306	93	0	23	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9e34b8440a2008a02930da6bbe98325	189	2103	143	97	21	22	153	802	216	171	247	108	412	324	3756	1632	903	418	33627	11027	14501	7	24	0	310	538	7324	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b9391966f48ac2b5f5c205b8ad94cb9c	0	0	0	0	0	0	0	0	0	0	0	0	0	26	236	21	391	58	2054	204	167	10	0	0	17478	26736	27063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c903f905d04d76e20ff7325fffe72f4	212	323	689	2509	0	36	124	0	0	433	288	1565	9390	40422	7794	113	3884	896	271	107	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33ed8088d69892489856e4c834dc424b	0	0	49	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	41	38	42	19	0	0	4109	7316	55496	205	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54b6e5f57fd2332884698221a0f8d1c8	246	106	187	120	37	36	1003	208	93	133	230	294	135	119	1579	34	369	155	31602	7353	10363	0	0	0	0	19	0	18	11026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7aceec4098265b2bcbe78ce33eedb20e	0	0	0	0	0	0	9	7	0	0	0	0	0	0	13	0	0	0	0	0	0	0	10	0	0	0	0	57157	1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cef3ec95c42142ef2745214b8b46a46c	304	485	2274	210	1342	1828	0	0	0	9041	31811	6665	0	6	0	124	179	53	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
