seqid	P25307_1001_S1	P25307_1002_S2	P25307_1003_S3	P25307_1004_S4	P25307_1005_S5	P25307_1006_S6	P25307_1007_S7	P25307_1008_S8	P25307_1009_S9	P25307_1010_S10	P25307_1013_S13	P25307_1014_S14	P25307_1015_S15	P25307_1016_S16	P25307_1017_S17	P25307_1018_S18	P25307_1021_S21	P25307_1064_S64	P25307_1065_S65	P30414_1055_S55	P30414_1056_S56	P30414_1057_S57	P30414_1058_S58	P30414_1059_S59	P30414_1060_S60	P30414_1061_S61	P30414_1062_S62	P30414_1063_S63	P30414_1064_S64	P30414_1065_S65	P30414_1066_S66	P30414_1067_S67	P30414_1068_S68	P30414_1069_S69	P30414_1070_S70	P30414_1071_S71	P30414_1072_S72	P30414_1073_S73	P30414_1074_S74	P30414_1075_S75	P30414_1076_S76	P30414_1077_S77	P30414_1078_S78	P30414_1079_S79	P30414_1080_S80
c9defb9d23fc31888e1b6901c68e1cf3	224	97	47908	110	158	128994	108	145	79731	1182	72	127	89	105	165	10	27072	13604	13331	61401	46879	219	3	160	0	9	26761	33450	7550	4564	24196	74528	92	68	586	2105	1931	7756	6	537	24983	46394	45765	41472	62051
2655f5f111358858104f5d0c95960ffb	108973	1159	1920	101443	659	806	290463	1071	145	85	1463	3276	1219	77944	70336	17832	397	223	139	4	0	11	20	5000	0	76	216	471	167	86	6	25	38	23	3406	24	33	199	0	19	23	13	18	22	23
25386fbea1b084c8c0432007b9ca51e0	715	1474	403	221	51421	349	290	128179	0	18	43	122	35	26	0	3	243	304	124	0	0	327	1230	1187	0	163	28	63	19	15	0	28	0	0	0	0	7	56	0	0	22	23	21	11	10
132fae8d9f732cb0ad35c6b0a16484b1	0	0	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	7	19	44	18	268	638	8345	34846	35864	19019	26107	227	2380	0	2200	26	27	21	16	0
70ff71e6f2f68263d320091ae1505d39	548	205	2675	0	97088	295	0	1013	110	33	0	0	0	0	0	0	1121	437	559	0	0	23	0	3989	56	166	0	155	0	0	0	0	60	0	2002	45	0	58	0	0	0	0	0	0	0
1a597e4d6ae20d0bd4bb1a032c67f05f	60	39	20360	34	43	48646	41	60	6909	39	0	13	0	0	9	0	937	435	518	24	0	6	0	3	0	0	64	378	93	56	0	0	0	0	0	0	25	86	0	0	89	200	77	91	65
b3f82a2a48abe0d2804345122af792a8	18	0	1385	0	0	3834	0	8	21883	23	0	0	0	21	14	0	1656	550	1060	326	11767	15	0	0	0	0	920	3212	783	571	37	967	25	1145	104	22	15879	1474	0	141	1006	980	630	684	552
e635f619c27f553ee41f69b4db20f864	0	0	0	0	0	0	0	0	0	1986	6	7	53	0	107	5	19772	4681	4197	77	0	76	0	8	0	0	1929	10511	5343	3243	84	0	0	0	0	0	1588	4848	0	335	3300	2415	2596	1879	2533
5407a2990b1f17dc1f9bc6d3a5d2a398	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	0	147	364	4166	16605	17275	9267	12412	128	1151	0	1054	10	14	0	0	9
4f56d727618edb7e3a2e380eeb9de013	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	1824	1452	996	0	0	371	49	0	0	0	237	345	63	102	77	15	0	0	729	3988	24	79	0	46116	303	557	368	601	465
c62aa8525073c11748695a02775e6c59	34	0	70	0	0	0	0	126	31922	19	23	16	13	35	0	0	58	31	16	179	0	46	0	3	0	0	565	7470	775	587	0	213	0	0	69	926	283	1310	0	94	0	2	0	0	0
73bac68563ffcbd96babeb70a358dbaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	36027	6328	7	85	298	26	67	23	24	0	0	0	0	17	0	13	33	3	0	4	5	0	4	0
c2dcd20faab238980f4ba657f8c22a64	0	16	8	0	0	0	0	12	0	0	0	0	0	0	0	0	39	17	29	0	0	27	1	37849	249	1009	60	103	43	22	0	3	25	40	67	65	6	19	0	10	6	7	6	4	3
107e3dc8481a9fb9d976bb101a6550ac	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0	963	344	386	16	0	42	0	16	0	0	1900	4422	2314	1357	432	162	19203	0	31	0	760	2606	0	2294	56	66	45	42	39
0238123dfbebecc4098533b6b53da1d7	5617	65	90	5195	28	0	14200	48	0	0	80	148	0	3916	3559	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198718ff1f936dcd969f2e2695931b24	0	0	1817	0	0	4895	0	0	8521	0	0	0	0	0	0	0	304	0	211	439	6145	0	0	0	0	0	1018	1684	376	150	177	918	0	0	0	0	635	197	0	0	1205	1190	1065	825	1247
f2b67619d7e96ddae33cdc3277c2be3d	0	0	0	0	0	0	0	0	0	260	0	0	9	0	0	0	3862	1053	962	214	0	30	0	11	0	0	775	4314	1383	1644	46	0	0	0	0	0	1523	6500	0	172	1505	977	846	968	935
6b9ba8421d8814b3200d3c19cca39e8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	43	52	12	51	0	0	663	15552	29	79	4222	7267	0	0	0	0	0	0	0
2c894426e65c04aba58dc8d97429acdd	112	92	102	70	55	57	76	26468	0	0	44	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
676e06f5b0f40ab24e9ca3c6e8d9a3a9	0	0	1316	0	0	2954	0	0	7569	0	0	0	0	0	0	0	232	104	206	272	5657	0	0	0	0	0	830	1514	343	140	113	600	0	0	0	0	726	200	0	0	866	848	757	571	786
3fb400dd1df208725833b5c104d0e07a	0	0	1585	0	0	3982	0	0	8962	49	0	0	0	0	0	0	227	109	199	280	3848	0	0	0	0	0	669	1243	296	135	120	531	0	0	0	0	368	129	0	0	737	722	673	510	711
562b371da2d8e078abb5df96cc83b21b	3	0	131	0	0	337	3	0	642	20	0	0	0	0	0	0	1217	735	605	688	52	40	0	12	0	0	1089	3924	1248	641	206	22	0	0	12	0	632	1577	0	209	991	3137	2088	1812	2314
c087aad2913d38933c9437a7212e5d5c	0	0	1107	0	7	870	0	11	7689	0	0	0	8	10	0	0	241	248	239	42	259	0	0	0	0	0	28	146	47	31	0	17	4	0	704	5	9884	625	0	18	22	29	22	37	32
fc66574db4ef600413f95ae0fa8d074b	0	0	0	0	4	0	0	0	24	283	0	0	26	0	59	0	6549	2116	1687	138	0	10	0	3	0	0	342	1328	612	708	67	0	0	0	0	0	541	2499	0	73	1118	847	635	654	598
e524c2c137a1d61fd3a6fa3114c49508	96	3584	83	53	35	420	62	104	0	32	18	29	36	0	0	0	876	317	359	0	0	25	7	823	0	0	346	2657	680	341	0	50	71	0	8540	80	157	821	0	40	24	52	29	22	27
fb9afca37c70b121113bbc191aaa556f	38	7	0	37	0	0	161	0	24	16	17	0	24	11906	7069	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dba4e2c6dc6e9ec5ed6f2167927a906d	3333	38	56	3052	0	0	8597	0	0	0	0	96	0	2325	2113	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5adbe5a0587e057b33aea09f4bd224ab	0	0	0	0	0	0	0	0	0	52	0	0	8	0	17	0	2803	1276	690	177	0	21	0	17	0	2	1546	2825	1228	657	32	0	0	0	0	0	872	4295	0	102	445	633	605	723	440
4014e82819488cb3f2f702775d64e54d	0	0	0	0	0	0	0	0	0	56	0	0	4	0	3	0	1113	275	218	290	0	12	0	3	0	0	644	1713	508	488	1376	0	0	0	4	0	1761	9150	0	183	422	432	206	241	251
b9b2ebd62c19880c3d92d0508530b169	86	61	1283	62	35	129	56	15525	23	0	0	0	0	0	0	0	137	128	68	0	0	0	0	0	0	0	0	0	0	0	5	0	524	8	94	67	10	63	0	0	0	0	0	0	0
6eab552c835ec8b407de7e3a26350f55	0	0	0	0	0	0	0	0	0	10	0	0	46	0	10	0	1499	699	425	171	0	15	0	8	0	0	1152	2105	846	741	23	0	0	0	0	0	1128	6403	0	128	258	422	494	494	387
704e74d4504ffb65f06a3d6117a6f219	0	0	2134	0	0	479	0	0	260	7	0	0	0	0	0	0	326	153	132	20	0	2	0	0	0	0	71	179	70	63	79	3033	0	3375	0	5	1396	4851	0	28	61	65	46	59	56
3e9ffbf1ed5ff26d161fa460b783631a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	359	261	0	0	126	11	0	0	0	54	80	0	34	38	0	0	0	196	1349	0	26	0	12612	109	159	110	154	147
8df2aa540adbf4450e58540f3da46c9a	0	0	0	0	0	0	0	0	0	45	0	0	6	0	21	0	2857	978	690	382	0	23	0	0	0	0	630	1372	409	426	51	0	0	0	0	0	565	3021	0	61	619	817	721	636	492
d9c597dece8573e75b38be5b26794a44	0	0	0	0	0	0	0	0	0	104	0	0	15	0	21	0	3250	1023	896	183	0	20	0	3	0	0	382	1436	522	506	38	0	0	0	0	0	371	2413	0	117	828	641	668	638	707
a676759808c60442011596644a994023	0	0	0	0	0	0	0	0	0	279	0	0	14	0	23	0	4543	1264	1116	96	0	8	0	0	0	0	250	1064	386	379	35	0	0	0	0	0	273	1387	0	56	897	675	572	672	664
c644dd2fe8dd44028035444047c3d983	0	0	167	0	0	318	0	0	8599	0	8	0	11	0	0	0	21	19	7	0	4881	0	0	0	0	0	0	20	0	4	0	49	0	0	0	0	0	9	0	0	0	6	18	0	9
dc92544b89274c769be10d0364ae99ac	0	0	0	0	0	0	0	0	0	29	0	0	12	0	9	0	1955	1171	514	215	0	11	0	8	0	0	835	1896	973	762	18	0	0	0	0	0	420	1631	0	50	445	1025	938	557	408
6a65cfe0c6b308d1cb5e588101f4827a	0	0	4517	0	0	936	0	0	2103	0	0	0	0	0	0	0	551	181	163	0	391	0	0	0	0	0	302	736	126	130	0	270	0	0	0	0	0	89	0	0	423	1289	553	418	460
839600efdcdbef565408caddeceac596	21	9	3520	8	31	3064	0	22	4316	17	0	0	0	0	0	0	897	609	636	0	0	0	0	0	0	0	107	234	86	34	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
c7b2d2a980333a1e3c70fd2183ea557e	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	472	121	106	34	0	14	0	5	0	0	632	1670	559	799	73	0	0	0	0	0	1249	5515	0	375	224	236	117	143	109
9c00a194aba42fba33dd64b8d15008d8	0	0	0	0	0	0	0	0	0	99	0	0	6	0	20	0	3899	1026	924	211	0	0	0	0	0	0	79	329	144	182	12	0	0	0	0	0	356	1928	0	17	652	617	468	715	551
9323c3722d91c902cf58f4ccbf4e1b81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	102	98	22	0	20	0	6	0	0	1392	3292	1572	808	6	0	0	0	2	0	718	2732	0	166	83	85	61	84	72
88866b6a71c2f1459f26529f34a9152d	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	467	126	109	40	0	19	0	3	0	0	468	2168	768	560	350	0	0	0	0	0	855	3882	0	239	444	390	239	273	212
f253c6cd2912a3bb868d8dabd5ab1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	30	61	8	0	34	0	94	0	0	1536	4293	1103	682	0	36	58	7	181	21	250	1828	0	89	87	124	77	94	74
a1c0e592c8b82eb065f5f6f9c859e006	5	15	10	0	0	28	7	13	8	0	2	9	4	0	0	0	94	45	48	0	0	5	0	0	0	0	315	375	89	105	5	0	0	0	2	0	2049	7531	0	4	3	5	3	3	6
9a0833f2a6a2064b81bb4b9d9e641af2	0	0	0	0	4	0	0	0	0	157	0	0	15	0	29	0	3493	980	1020	109	0	0	0	4	0	0	178	789	328	312	32	0	0	0	0	0	145	822	0	20	548	530	398	432	347
b87dca9772642393b00e9a67390cd2d9	10	0	206	0	0	417	0	0	9693	0	0	0	0	10	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	12	0	8	3	0	0	0	0	0	0	0	12	0	0
f119617098174a90be4e7084827fce06	0	0	389	0	0	881	0	0	1179	39	0	0	5	0	4	0	1500	650	640	5341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	7	0	7
8c2045572400a7ea3aa403c7fdee19c5	0	0	125	0	0	117	0	0	115	130	0	0	20	0	31	0	5406	2049	2533	80	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
9d31e2eb96e1293447ac09bfab2fbcd6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	31	19	0	0	35	0	7	0	0	847	4108	338	1224	0	0	0	0	0	0	430	2927	0	109	0	0	0	0	0
