Sample_Point,Shapes,Duration_months,Na,K,Ca,Mg,Alkalinity,Cl,SO4
Borehole,a,-9.0,1360,26.2,209,104.0,214,2370,267
1B,b,0.0,1420,30.6,200,114.0,217,2490,287
2A,c,0.0,1410,30.5,202,113.0,217,2480,283
1A,d,0.0,1440,30.4,206,114.0,217,2500,286
2B,e,0.0,1410,30.4,204,113.0,217,2490,283
1B,b,3.0,1390,30.2,193,113.0,217,2520,288
1A,d,3.0,1410,30.4,194,114.0,217,2480,287
1A,d,6.0,1390,29.9,187,107.0,217,2340,270
2B,e,6.0,1410,30.4,190,108.0,217,2040,270
1B,b,6.0,1360,34.4,183,104.0,217,2230,274
2A,c,6.0,1430,36.3,198,113.0,217,2350,269
1B,b,9.0,1210,27.3,179,102.0,219,2120,253
1A,d,9.0,1190,27.3,179,102.0,221,2110,251
2B,e,12.0,1190,25.9,180,98.6,218,2210,249
1B,b,12.0,1200,26.0,180,98.9,219,2200,249
2A,c,12.0,1200,26.1,179,98.9,219,2220,249
1A,d,12.0,1200,26.2,180,99.5,220,2180,248
2A,c,18.0,1230,25.2,154,96.5,229,2000,234
2B,e,18.0,1220,25.0,152,95.9,229,1990,234
2B,e,24.0,1260,25.4,164,90.2,234,1980,240
2A,c,24.0,1230,25.7,165,89.9,234,1970,238
2B,e,30.0,1210,27.1,166,102.0,222,2140,252
2A,c,30.0,1260,27.2,164,102.0,222,2140,250
2A,c,36.0,1240,25.7,160,93.1,225,2090,240
2B,e,36.0,1230,25.2,161,93.2,225,2100,250
1A,d,37.0,1230,26.8,167,94.5,223,2190,260
1B,b,37.0,1230,26.8,167,93.7,222,2180,240
2B,e,42.0,1240,26.1,168,97.6,221,2120,250
2A,c,42.0,1230,25.9,167,95.9,221,2110,250
2A,c,49.0,1240,26.8,167,94.6,223,2190,260
2B,e,49.0,1260,27.3,170,96.8,220,2210,250
Borehole,a,49.0,1210,26.7,166,93.3,222,2190,260
