sample,Your_sample_name,sampling_date,sampling_year,Incubation_time_yrs,sample_source,new_names,DNA_conc,sample_type,Old_names
P37057_1001,HA0760B 01.12.2020 Valve 1,12/1/2020,0,0,borehole,Borehole,40.6,smpl,Borehole
P37057_1002,HA0760B 01.12.2020 Valve 2,12/1/2020,0,0,borehole,Borehole,43.5,smpl,Borehole
P37057_1003,HA0760B 01.12.2020 Valve 3,12/1/2020,0,0,borehole,Borehole,23.2,smpl,Borehole
P37057_1004,HA0760B 01.12.2020 Valve 4,12/1/2020,0,0,borehole,Borehole,46.3,smpl,Borehole
P37057_1005,Control filter 01.12.2020,12/1/2020,0,0,control,control,<0.05,neg,control
P37057_1006,Container A1 2020.12.10,12/10/2020,0,0,container,Outlet_SS,53,smpl,Outlet_Tef
P37057_1007,Container A2 2020.12.10,12/10/2020,0,0,container,Outlet_SS,49.4,smpl,Outlet_Tef
P37057_1008,Container B1 2020.12.10,12/10/2020,0,0,container,Outlet_Tef,48.7,smpl,Outlet_SS
P37057_1009,Container B2 2020.12.10,12/10/2020,0,0,container,Outlet_Tef,54,smpl,Outlet_SS
P37057_1011,Macadam Lysis buffer - 1,,0,0,macadam,Macadam,0.136,smpl,Macadam
P37057_1012,Macadam Lysis buffer - 2,,0,0,macadam,Macadam,0.095,smpl,Macadam
P37057_1013,Clogging container A1 2021.12.06,12/6/2021,1,1,container,Outlet_SS,>60,smpl,Outlet_Tef
P37057_1014,Clogging container A2 2021.12.06,12/6/2021,1,1,container,Outlet_SS,>60,smpl,Outlet_Tef
P37057_1015,Clogging container B1 2021.12.06,12/6/2021,1,1,container,Outlet_Tef,>60,smpl,Outlet_SS
P37057_1016,Clogging container B2 2021.12.06,12/6/2021,1,1,container,Outlet_Tef,>60,smpl,Outlet_SS
P37057_1017,Control filter 2021.12.06,12/6/2021,1,0,control,control,<0.05,neg,control
P37057_1018,Clogging container A1 2021.12.20,12/20/2021,1,0,container,Outlet_SS,>60,smpl,Outlet_Tef
P37057_1019,Clogging container B1 2021.12.20,12/20/2021,1,0,container,Outlet_Tef,>60,smpl,Outlet_SS
P37057_1020,Control filter 2021.12.20,12/20/2021,1,0,control,control,<0.05,neg,control
P37057_1021,Clogging macadam A1 End top 2021.12.14,12/14/2021,1,1,macadam,Biofilm_SS,<0.05,smpl,Biofilm_Tef
P37057_1022,Clogging macadam A1 End middle 2021.12.14,12/14/2021,1,1,macadam,Biofilm_SS,<0.05,smpl,Biofilm_Tef
P37057_1023,Clogging macadam A1 End Bottom 2021.12.14,12/14/2021,1,1,macadam,Biofilm_SS,<0.05,smpl,Biofilm_Tef
