sample,N_to_S_Site_names,order,sample_Identity,site,replicate,zone,OX,TR,RZ,regions,pH,Temp,Zone_depth_START_cm,Zone_size_cm,LOI,Ti_AR,S_AR,Fe3_mgKg,Fe2_mgKg
P25811_1001,N16,1,LNUASS-1A-OX,1,A,OX,1,0,0,A4,3.6,8,45,40,2.3,1330,1940,4929.328622,567.3341186
P25811_1002,N16,2,LNUASS-1A-TR,1,A,TR,0,1,0,A4,5.4,8.5,85,20,2.1,1250,1470,3240.44586,517.5159236
P25811_1003,N16,3,LNUASS-1A-RZ,1,A,RZ,0,0,1,A4,7.88,9,105,40,2.8,1140,607,1149.24182,3240.223464
P25811_1004,N16,4,LNUASS-1B-OX,1,B,OX,1,0,0,A4,3.81,8,75,10,3.1,1400,1510,6635.46749,414.2188589
P25811_1005,N16,5,LNUASS-1B-TR,1,B,TR,0,1,0,A4,5.3,8.5,85,20,2.5,963,787,2090.517241,534.8746082
P25811_1006,N16,6,LNUASS-1B-RZ,1,B,RZ,0,0,1,A4,7.75,9,105,60,2,1160,681,1131.145926,2613.065327
P25811_1007,N16,7,LNUASS-1C-OX,1,C,OX,1,0,0,A4,2.89,8,45,50,1.2,1290,1980,5555.445052,690.2038787
P25811_1008,N16,8,LNUASS-1C-TR,1,C,TR,0,1,0,A4,4.4,8.5,95,50,0.4,915,962,341.8803419,558.0115925
P25811_1010,N01,9,LNUASS-2A-OX,2,A,OX,1,0,0,A1,3.5,2,95,110,7.1,1780,5640,33303.11391,1225.857312
P25811_1011,N01,10,LNUASS-2B-OX,2,B,OX,1,0,0,A1,3.45,2,95,100,7.2,1790,3160,31443.90341,1190.499851
P25811_1012,N01,11,LNUASS-2C-OX,2,C,OX,1,0,0,A1,3.55,2,105,80,6.5,1680,6300,43375.44604,1373.324332
P25811_1013,N01,12,LNUASS-2C-TR,2,C,TR,0,1,0,A1,5.6,3.5,185,20,11.2,1660,23500,0,4733.959311
P25811_1014,N02,13,LNUASS-3A-OX,3,A,OX,1,0,0,A1,3.85,2,85,20,8.9,1850,3640,37391.99053,1392.779641
P25811_1015,N02,14,LNUASS-3A-TR,3,A,TR,0,1,0,A1,4.5,3.5,105,30,6.1,1780,2100,16122.58753,2731.063912
P25811_1016,N02,15,LNUASS-3A-RZ,3,A,RZ,0,0,1,A1,6.7,5,135,70,7.9,1700,13900,0,59421.7348
P25811_1017,N02,16,LNUASS-3B-OX,3,B,OX,1,0,0,A1,3.51,2,45,60,8.7,1760,2820,36905.89166,1251.4828
P25811_1019,N02,17,LNUASS-3B-RZ,3,B,RZ,0,0,1,A1,6.73,5,125,80,5.1,1700,13300,0,64124.26566
P25811_1020,N02,18,LNUASS-3C-OX,3,C,OX,1,0,0,A1,3.62,2,45,70,8.2,1860,3040,35965.30994,1208.238888
P25811_1022,N02,19,LNUASS-3C-RZ,3,C,RZ,0,0,1,A1,6.61,5,125,80,8.7,1800,13700,0,58688.49187
P25811_1023,N03,20,LNUASS-4A-OX,4,A,OX,1,0,0,A1,3.85,2,65,60,5.5,1870,1990,11586.64296,940.5255878
P25811_1024,N03,21,LNUASS-4A-TR,4,A,TR,0,1,0,A1,5,3.5,125,30,5.6,2110,16700,1659.95783,2480.352693
P25811_1025,N03,22,LNUASS-4A-RZ,4,A,RZ,0,0,1,A1,6.63,5,155,50,3.6,2270,5220,2971.027865,9835.763056
P25811_1026,N03,23,LNUASS-4B-OX,4,B,OX,1,0,0,A1,3.66,2,55,100,4.3,2220,3100,8547.244094,980.3149606
P25811_1027,N03,24,LNUASS-4B-TR,4,B,TR,0,1,0,A1,4.3,3.5,155,20,3.8,2120,2920,6349.14348,2206.159026
P25811_1028,N03,25,LNUASS-4B-RZ,4,B,RZ,0,0,1,A1,6.56,5,175,30,3.4,2360,3270,4000.787557,8560.740303
P25811_1029,N03,26,LNUASS-4C-OX,4,C,OX,1,0,0,A1,3.95,2,115,10,5.4,2090,5770,13573.60906,842.934515
P25811_1030,N03,27,LNUASS-4C-TR,4,C,TR,0,1,0,A1,4.7,3.5,125,30,3.2,2290,2990,1718.547986,2736.946793
P25811_1031,N03,28,LNUASS-4C-RZ,4,C,RZ,0,0,1,A1,6.73,5,155,50,3.2,2330,2280,2283.824531,7442.855753
P25811_1032,N04,29,LNUASS-5A-OX,5,A,OX,1,0,0,A1,3.94,2,75,60,4.6,1790,5610,32276.13412,1491.12426
P25811_1033,N04,30,LNUASS-5A-TR,5,A,TR,0,1,0,A1,4.6,3.5,135,30,5.6,2000,18500,0,1260.733802
P25811_1034,N04,31,LNUASS-5A-RZ,5,A,RZ,0,0,1,A1,7.43,5,165,40,4.8,2060,16400,355.1476457,5949.72067
P25811_1035,N04,32,LNUASS-5B-OX,5,B,OX,1,0,0,A1,3.85,2,105,20,3.8,1900,14000,2698.334483,2505.173943
P25811_1036,N04,33,LNUASS-5B-TR,5,B,TR,0,1,0,A1,4.3,3.5,125,50,5.2,1790,7570,15468.30185,3679.161309
P25811_1037,N04,34,LNUASS-5B-RZ,5,B,RZ,0,0,1,A1,7.21,5,175,30,3.5,1910,21000,227.2047833,3248.629796
P25811_1038,N04,35,LNUASS-5C-OX,5,C,OX,1,0,0,A1,3.74,2,55,80,6.1,1880,1970,7142.429384,802.4752969
P25811_1039,N04,36,LNUASS-5C-TR,5,C,TR,0,1,0,A1,4.8,3.5,135,30,4.9,1970,18600,0,1389.136242
P25811_1040,N04,37,LNUASS-5C-RZ,5,C,RZ,0,0,1,A1,7.97,5,165,40,5.1,1940,16700,154.9617562,4811.7612
P25811_1041,N05,38,LNUASS-6A-OX,6,A,OX,1,0,0,A1,3.59,2,105,100,3.7,1860,1430,14845.01481,949.6544916
P25811_1044,N05,39,LNUASS-6B-OX,6,B,OX,1,0,0,A1,3.669,2,105,100,4.6,1830,2770,26607.35469,1308.817715
P25811_1047,N05,40,LNUASS-6C-OX,6,C,OX,1,0,0,A1,3.68,2,125,80,4.2,1920,2270,21008.51855,1080.975228
P25811_1050,N06,41,LNUASS-7A-OX,7,A,OX,1,0,0,A1,3.86,3,65,60,3.8,1840,1530,5623.4574,616.0529174
