pathway	description	P37057_1001	P37057_1002	P37057_1003	P37057_1004	P37057_1067	P37057_1068	P37057_1013	P37057_1014	P37057_1015	P37057_1016	P37057_1021	P37057_1022	P37057_1023	P37057_1025	P37057_1026	P37057_1037	P37057_1039	P37057_1050	P37057_1052	P37057_1055	P37057_1057	P37057_1061	P37057_1062	P37057_1065	P37057_1066	P37057_1084	P37057_1018	P37057_1019	P37057_1030	P37057_1031	P37057_1032	P37057_1033	P37057_1034	P37057_1035	P37057_1036	P37057_1038	P37057_1047	P37057_1048	P37057_1049	P37057_1051	P37057_1054	P37057_1056	P37057_1059	P37057_1060	P37057_1063	P37057_1064	P37057_1083
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	26881.747418974814	8164.8206920645725	29574.436348301864	71.4871230206342	33330.39561732139	24267.12116021019	21053.50067376312	21425.24402793524	25544.265110640372	17275.629156279705	67305.2342370505	11312.097192044608	62781.93300644297	48302.94828145001	59404.93913547329	29492.141099720437	27379.37755290146	15352.949094486909	29920.7117087172	26538.13598090383	39687.0166605985	51300.49563222437	40583.16999538424	46531.440048074175	37468.20333086713	67750.48806564583	9416.990386623213	23966.03865792561	31370.465722484703	41051.88013991297	29921.27614279421	31870.64909941885	39035.519404442246	35177.565553303655	25949.652803209658	29907.77775037786	24164.890715452115	111.9681329709056	14916.163234988098	31756.92437953435	28165.279928220807	26993.196946364365	38071.45478110608	39947.59066326443	31608.39407759912	39536.29449912164	48561.42954420539
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	82.22772745748672	10.276405191373104	158.42014649064805	0.0	93.93753424548063	81.14919048019347	12.491311859489649	9.030394881328744	43.33495604469834	28.00269481032329	3851.60410026991	302.8012447583888	5480.605598973493	3495.002610766781	5872.3782413784365	67.82855182618245	34.54256211608575	18.08802052404989	54.64120918118603	50.51040052297268	79.74713577350794	1023.1619920149273	713.1895511628699	921.9169225231758	831.3205234678977	740.037048565327	4290.184529596798	11390.832767469154	189.90337077365987	752.2446626062214	344.8195418377592	326.5407260555532	400.9336845519117	338.5453867041924	22.44729850042044	40.606658249129936	391.2094152211807	0.0	28.425529283985917	49.01905645739291	60.63270798827482	70.7897651363445	561.3952000756809	759.6119968307804	570.9918600621747	951.8938934035716	1443.6203609339211
AEROBACTINSYN-PWY	aerobactin biosynthesis	11.707317073170731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.571428571428571	0.0	200.31184410787037	0.0	0.0	77.72424028091785	392.905138653388	0.0	0.0	0.0	0.0	0.0	0.0	19.04479622768609	22.799030099253176	45.55414624481045	22.66642577975224	25.143913370264176	9.105492589363555	0.0	0.0	0.0	0.0	0.0	0.0	15.843264026645114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.6013986013986	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	837.8210207127153	76.92543034374914	884.06869318501	0.0	624.4276262642559	537.9113053795036	240.43239125003456	446.6481232482255	385.574629643833	569.3370048214539	19769.06084959821	3123.192183349957	19440.885213717804	19700.849002061197	21521.986933527096	711.4036739519382	470.102439623277	219.86101668742995	612.7204010915259	471.4307777604999	1061.145342975626	6910.900559970088	6510.823568848123	8922.936159266115	7690.221350190162	10492.760912449425	293.2307246529215	2422.2499198671167	4213.712633702375	4978.488679004473	4000.076612911123	2627.747973137043	7820.313582957524	4632.697582852331	460.8833813127965	732.3458415415716	226.65137279752875	0.0	308.57055573753536	988.0519748896228	696.9377180398459	939.706612543916	5795.771189139037	6160.830894477181	4163.113455155592	5994.230700681303	7489.655859553767
ANAEROFRUCAT-PWY	homolactic fermentation	3287.015099285452	923.6327853492452	3191.455928939853	68.5598674762314	2979.148969397191	2392.680437944437	18552.064244038185	14032.092821844784	13254.621202418257	14882.981869018207	63143.7168102315	10672.883914049717	55821.82199067398	51491.339526264266	57412.00005584304	16955.339308887174	11830.71287740876	13938.456389932082	22186.020258980927	19820.102377565872	19961.69918256847	46592.80741896333	36920.7397015636	53539.85508178824	38742.08316262277	67852.81436569146	2510.689316217172	12127.416032967116	25276.637177941004	36601.66638430381	23279.34207971803	29979.744478499302	37839.37313076138	33506.673607143595	13048.675088218262	14906.075795432222	9979.706793765376	72.33747505421337	7110.942044909971	17194.29029997154	15586.197804341398	14364.32498614445	33804.90862139835	35089.487545973	26624.43359128292	34993.24467928861	41774.48903878809
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	35925.865207623305	11225.711285325002	37164.1780963991	121.63348843924295	43624.0471603985	32015.83554323244	23615.36341001353	24095.845907987838	29998.575969575897	19808.60110010504	79459.65068891757	13402.1172819379	71375.81257316958	62066.83110908595	69351.50014524124	36621.25350621077	32224.61878603154	18802.384658934458	37211.37530100877	33696.40994532939	54102.58723799974	76042.34141474258	61500.22864448417	68879.09281821364	55048.84255755875	105082.76463855722	3152.373116030622	12591.789373318326	41650.56417330695	57052.94797414055	39698.53127305544	44032.60902252339	49772.444137009545	46403.61382105097	28738.696632568888	35179.71946166264	27130.39926838516	120.55100796497156	19047.747223385475	39149.94635246487	35982.331829907525	36279.199654957	51787.32788880664	55616.69123379701	41975.06859803101	53045.94046935168	64467.34376743666
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	3716.568681369849	974.4707691817272	4641.547679043634	48.41360337076161	4604.967268694791	4770.783201718359	3364.981904018238	3458.7440262996497	2992.491322609573	1517.726070213662	32955.25912176522	5324.576408206733	30811.37643894796	25072.54301960813	29806.337088725664	4131.212770821473	4848.134050009934	3337.587081511141	12350.729832005492	5026.928602249453	7736.302976000035	16824.729069987858	15114.731638811902	23284.618155685173	15253.009749244387	23913.78022153393	2626.474170903812	7061.690936754866	13031.331050511071	20448.80040255533	11542.45037712442	17762.3242456054	15080.1513946717	16712.417187815627	6206.0085816964165	4065.14534813454	5668.702484804573	30.277403016572976	4527.048953335361	9294.411328337275	9839.371300684808	8704.735036824708	15031.472161309985	15405.092020464746	12480.753474274055	16273.846380174236	20935.212046411143
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	213.5171985912289	17.12559841338941	231.74822932221943	0.0	146.67823414465235	104.57696325346498	12.406107115044332	14.669450571522344	17.781840361783615	35.061267211495434	262.0031048736768	0.9298675032953474	0.0	182.52981123763905	133.3019612090341	63.31583610867511	41.1058586364143	23.211764409099874	59.9016835483402	55.61442670565835	79.23006190486313	39.99682992938613	171.37490409426138	31.018284233497376	74.37986444195265	97.03276866707522	185.08433220651744	1565.975939129643	3.2110994528580483	8.877675555748667	11.389887799552652	6.150737369076785	1154.060887152537	27.160562819576352	24.232127327865243	45.36809954856432	25.62304176637953	0.0	41.7215857803434	68.8663089456788	78.99033262595805	94.14129400886296	21.97600265563581	105.78534435540676	19.56390395306505	11.829283259116654	20.16687486606416
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	240.6778051707139	30.168998481662683	597.2336254378765	13.009345794392525	178.55255860896625	1200.0018700349042	364.3330471126335	1202.9335442693168	1134.4272993284394	408.2238015522351	24267.3611396722	3382.8372074150257	20076.8955465724	16318.589651231803	17106.32635785141	526.4211237474673	512.5216228269427	156.92075854469272	468.517506774798	303.29287330590483	654.8929387078174	8001.231553541573	6283.72871628897	11170.037888501118	7832.580526551277	9994.411012417531	6986.997852603816	16160.069785367705	10018.893911890618	15985.116331209209	9750.571700659722	9741.058676122835	13086.2202038272	12742.127832024938	1268.2376271558182	1341.8678815764094	1428.625916749336	2.813319558133991	293.2054407522295	840.4522493082136	520.2298040659912	435.5036373509612	6616.861313231916	9284.573411493331	7403.418031643097	9603.8572092261	12979.151162730055
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	37633.60579959499	11939.300736058569	39169.3711664682	95.24419533869072	45745.43520720125	33544.691948779204	18982.581057906867	22148.77117257584	25754.4560751928	15924.747793488828	68572.079764869	10938.583632376496	57265.46975468845	51582.81317553374	56376.7633721569	33922.058264832915	28866.73512968836	17116.224179017045	37410.29931056088	32773.7439223561	53318.14535658847	66411.59438863373	52868.396741932906	56175.06472332597	46414.29292999252	89993.10082328526	8974.39422039788	21541.814766385676	34670.38040146427	49327.70104874005	32023.457131091927	36884.38138058088	42059.80064278944	38682.63193735286	26684.01080646882	31737.78090150867	26143.70663535477	117.06337925936351	19156.241052034187	38136.97125615954	36745.23200898216	36817.61299105798	43539.4868518939	47263.51323441992	36234.69154044303	45437.37166166878	55836.48910268377
