seqid	P30102_1067	P30102_1068	P30102_1069	P30102_1070	P30102_1071	P30102_1072
b519eb8761acb6775d792d8744e08e81	0	0	0	0	0	0
318669d5d926e9b81ca6911da00a14ea	0	0	0	0	0	0
457b0d3173b746e56237d8b01e1d6317	0	0	0	0	0	0
136c03e424212fcd420598f35f877697	0	0	0	0	0	0
369906d432efb2e771efcab20af116bc	0	0	0	0	0	0
1a4afd51274fd3b424d39e31ec6b1630	0	0	0	0	0	0
19c88c43cefc0efae399898111815666	0	0	0	0	0	0
45449f5a9c9a54284e4ebe52c3cd3d0c	0	0	0	0	0	0
18b725f88dbea7d049859dfc58456f7a	0	0	0	0	0	0
fba964fa77137f407924dcd8715d5c86	0	0	0	0	0	0
ff225dba13acdfbba8723cb431c42c39	0	0	0	0	0	0
f1da984a10983af51b57737647c1013d	0	0	0	0	0	0
737597e26ee5aa3569d8db14fa2e5747	0	0	0	0	0	0
5a1dc14d11e3e6ca8fd1fbce597300ec	0	0	0	0	0	0
662dd8ddc9333c681679c2c09c524b15	0	0	0	0	0	0
530f449c8546e747ffa6d7256b3e2cba	0	0	0	0	0	0
162f49312dce826c703c6ecf58c78a01	0	0	0	0	0	0
0b538986430315945fdd608780461d5c	0	0	0	0	0	0
0282092eeef14cdf1505be8c315857e9	0	0	0	0	0	0
05d6e3f01cde294509bb0c1f14e3db57	0	0	0	0	0	0
763ff3b2b850b140691464b2e8786804	0	0	0	0	0	0
993a6fe52069b7710256a210ddc44129	0	0	0	0	0	0
987b07b51f215294b9ba396fc0da2eab	0	0	50	0	0	0
47037e4ea52f2968e40892c3d4b37476	0	0	0	0	0	0
8fecc9ec000a0acbecf2b39588a6ce49	0	0	0	0	0	0
586fa20999066174f638a04765ca0de1	0	0	0	0	0	0
5cd733aa6f457f7374f5e42b10b591c1	0	0	0	0	0	0
d31545c1bc4d04649bc82955f3a54738	0	0	0	0	0	0
c8c17b7501c9afcdb6c84f6a50e26737	0	0	0	0	0	0
cb08fb5043c265574ad390f3281bb5cd	0	0	0	0	0	0
6b0371883c22354c8b6cda9b5564044d	0	0	0	0	0	0
adbf251d7e85faf55966946674feb177	0	0	0	0	0	0
4aedee16e906abdea4866569b7030509	0	0	0	0	0	0
256e23e1e2d88635041bcfdf2bf470e0	0	0	0	0	0	0
48fc71266517f94c5dd4b39a8feb0fcd	0	0	0	0	0	0
712454e536368fd89dddb0d80e2e340c	0	0	0	0	0	0
59e50c532873a181310afdef90842238	0	0	0	0	0	0
ee48d13e4145792a603be4c52a821a80	0	0	0	0	0	0
73cac7adf101ac441f30205005fb24df	0	0	0	0	0	0
1856ab3ec43665f0f19fa6074671ed0f	0	0	0	0	0	0
