seqid	P25812_1001	P25812_1002	P25812_1003	P25812_1004	P25812_1005	P25812_1006	P25812_1007	P25812_1008	P25812_1009	P25812_1010	P25812_1011	P25812_1012	P25812_1013	P25812_1014	P25812_1015	P25812_1016	P25812_1017	P25812_1018	P25812_1019	P25812_1020	P25812_1021	P25812_1022	P25812_1023	P25812_1024	P25812_1025	P25812_1026	P25812_1027	P25812_1028	P25812_1029	P25812_1030	P25812_1031	P25812_1032	P25812_1033	P25812_1034	P25812_1036	P25812_1037	P25812_1038	P25812_1039	P25812_1040	P25812_1041	P25812_1042	P25812_1043	P25812_1044	P25812_1045	P25812_1046	P25812_1047	P25812_1048	P25812_1049	P25812_1050	P25812_1051	P25812_1052	P25812_1053
c042b5ba7ca78abac496f66192283ff9	2463	32412	37652	4689	336	355	133	1281	1023	358	7863	2682	2074	8413	41970	7154	5008	1325	10601	3285	204	101095	114	81	3813	1636	2074	108	119256	88051	14194	774	8986	41429	107	15366	103147	30795	2737	47637	7570	124	47	7139	199	84	49	24620	125110	170	85	249
33ed8088d69892489856e4c834dc424b	38	6205	19	610	569	19	25	2069	284	109	159	339	1080	5083	579	17881	2569	4093	32457	853	462	563	38	29	56	186	24	15	2860	767	14721	4167	507	3620	31	16565	2968	37175	4094	12619	49685	101	55	1240	17442	421	1078	80632	1460	72	49	90
1be45f25cb2ce0e6797088a5517ddb5c	63	128	12546	16295	2775	60	41	35653	6316	85	19929	4395	56152	105	224	1469	27289	27779	3148	4935	97	274	36	55	47	25164	703	32	179	6330	1854	1178	3975	27	0	26	92	4047	14	70	54	0	41	362	10226	0	57	26143	25	21	19	0
0ee0dd341792a6deaba8c372de884ce5	1768	4683	17	0	224	97	0	19	28	6039	12	0	39	0	0	0	67	44	36	31	68222	34	5968	30	21626	45	47	4765	43	0	1529	38	60	9022	112	3087	66	387	21226	0	678	21097	8929	39	0	0	904	0	0	369	87	322
dcb651bc91a63ff14f545a679c0cd1e7	165	218	6037	312	38	26	18	11406	1286	24	6816	1689	10165	91	2766	1248	4974	1465	5890	4077	40	10976	10	26	52	402	6944	0	6040	24	1151	2904	19121	258	31	47501	6995	834	47	2681	236	8	6	27	12	0	3	29	7	4	0	17
0c704a9c546c90d2c330435b53ca61fc	0	0	0	887	31	0	0	1991	15800	62	6974	3848	3167	0	155	72	10815	64	1074	16129	0	94	16	41	51	5792	33	0	1782	185	479	32956	6449	0	49	0	0	882	0	756	0	0	0	0	70	0	0	9804	34	33	0	0
31bd813a6e3f48fc7ddab72907c948b4	566	1759	215	119	406	1516	1209	0	28	2714	37	25	0	30032	31	82	0	0	115	0	1956	17	111	0	1899	0	35	480	763	62	892	0	24	2449	0	1274	1331	1736	5452	21253	14315	65	33	63	470	21188	63	124	115	1133	0	0
394c4653c3847088811cee793bd5ec72	0	11	0	0	95	3	21	0	0	29	0	13	0	0	26	0	0	0	0	0	14	0	14	7	0	0	0	0	5	7	8	0	0	9	2	14	0	8	0	0	11	0	0	14	13	16	9	33	47	41	31	67
9103ab01a5b4949e7f55ff0416a22df2	2491	0	0	0	54	142	12508	26	44	55	25	0	0	542	91	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	116	89	0	0	0	0	46	0	48238	35	198
dc698a12d8b56c606e668ba954f92621	0	0	0	0	0	0	0	0	0	0	0	138	2245	0	0	52	9239	53	4501	62099	85	403	31	53	0	630	65	16	305	0	56	305	0	0	0	0	0	109	0	0	0	0	0	136	866	0	0	1674	0	0	0	0
0ad4fe93f80cf1ee9cdc926773154ee9	2366	3194	4046	27	3221	5234	1634	10	36	487	4561	969	42	2679	98	582	1499	188	3591	1794	863	2941	23	697	316	26	175	347	9191	1537	2930	320	1257	4395	1084	3199	5624	4046	2131	1945	640	28	14	13	22	209	0	25	1199	367	0	17
1894a852b6733e2ef0010e761adc1a71	0	61	159	1576	64	0	0	0	0	0	0	0	31	718	2728	3122	288	8798	31114	1094	45	0	45	0	0	1104	745	0	1118	697	53	0	2152	126	0	0	0	104	45	1999	1066	0	0	12463	3863	96	20	0	1402	0	0	127
81e35147c97559fb1bfeebfc95288963	18	19	26	18	33	31339	50	21	10	2362	0	0	0	166	0	0	0	3	10	0	3006	11	28	4	420	0	16	813	0	11	0	4	12	35	181	16	27	16	18	0	0	2200	2030	19	0	199	9240	0	4	79	2385	43
9fa1342d59ed83975b9958e625d52875	1972	1149	3142	0	1306	5526	1493	10	22	39	34	3	17	9284	7	259	0	6	4551	0	15	9	0	0	55	0	43	369	7753	21	1673	8	21	42	81	5982	12025	3939	4655	414	1387	8	0	3	5	0	0	0	11	0	0	0
6b69db033498bc214f8b3b54c486f655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	43	44	31	50	51	42	63786	0	0	0	0	0
5151ca13f2553e52d3ae1323baf27eee	10	30	181	0	16	0	0	0	0	0	156	14	10	44	24	30	0	7	4	41	14	111	11	0	26	6	6404	5	4092	20	174	5	42	78	15	39301	643	194	1247	1112	3147	10	7	37	2117	613	8	10	28	1321	12	16
d7b0b323a21dc4ae537a92900a45aa43	36	0	0	0	318	196	824	0	0	218	23	0	0	0	0	0	0	0	0	0	0	0	0	53	470	0	0	286	0	0	0	0	0	0	202	0	0	0	0	0	0	42	26	0	0	0	0	0	0	5791	42	0
04869aa212f46b2ffdf9626ca49f7d6c	0	0	0	0	65	0	0	0	0	0	0	193	0	0	0	0	0	553	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	45572	4532	31	0	0	0	0	0	331
6e3e5d8d9cecc12ad1d8d0579047c7a1	18	288	5	5	2920	347	903	5	0	1800	0	0	23	19	10	0	0	0	0	0	0	20	0	59	192	5	2	1323	24	9	212	7	35	4374	50	11716	4444	136	2869	6	4388	13	0	19	9	0	0	0	39	0	0	6
42e9623965c6154297c1708eec946299	111	1206	1043	155	0	168	0	55	0	21	321	106	34	2186	443	309	58	25	750	221	230	11757	477	14	0	12	598	0	2525	1010	1830	295	19	2031	14	3683	1057	3011	875	5450	1112	9	0	342	906	186	0	40	252	1308	18	73
beda2539ba914378f90461ae0df34473	0	176	33	1144	50	0	0	2310	884	0	191	945	5448	3579	1006	160	601	963	64	793	25	273	29	41	0	1567	76	59	250	602	223	3373	724	480	0	137	140	171	166	55	81	0	0	2521	2899	116	0	1570	9225	0	10	48
a86f89fea02906b20a55f6fd167a0012	15	12	0	0	16	0	8256	0	0	547	0	0	0	0	71	5	31	33	0	23	13004	27	10368	0	2299	4	0	122	5	0	9	0	0	0	25	8	0	10	0	15	0	618	469	22	14	126	6671	0	0	0	59	4
59345a37ea7b1368ff45abe257945a02	0	32	0	0	16	0	0	0	0	5	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
67fe68b10effbc7af1e15eb1d66f58af	0	0	0	0	0	0	2031	0	30	69	0	0	0	0	0	19	0	0	0	0	326	0	55	101	216	0	0	131	0	0	0	0	0	0	677	0	0	0	0	0	0	830	1104	0	0	0	1436	0	0	0	151	1700
aa6235b80bd778fd0ef1033432e17611	33	0	0	0	0	9	9	0	23	32	17	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5eee4b297387f86eda52b3e1a620dea6	1566	61	53	429	17	20	270	8159	530	13	2197	961	6830	452	4269	169	417	301	101	440	22	86	73	0	0	260	89	0	213	192	735	1638	911	185	0	54	66	190	0	0	14	0	0	66	1619	25	0	3911	2978	0	0	10
27b78d66233b2492e1bcb1f12af038c1	40	27	1202	0	0	211	57	0	0	2195	11	0	6	28	0	0	0	0	448	0	651	0	9	0	2172	0	15	602	1768	10	888	7	17	1898	52	660	61	1331	4571	1974	1281	1174	900	13	14	535	1084	20	16	8337	23	12
7271b20157b4247bb7217c801c91484d	118	82	47	0	428	661	127	0	0	102	0	0	0	55	34	118	0	0	0	0	368	149	0	34	1193	0	0	0	652	0	121	0	0	317	0	0	1891	195	5208	2900	9683	0	0	12	0	0	0	0	64	203	0	0
430ba71a0eca87de00fdf075bc1b417f	326	575	1297	0	2016	2358	1472	0	0	217	7	0	23	284	0	334	0	290	524	33	4970	0	736	0	361	0	182	52	1743	699	1472	0	0	3192	67	1995	1957	1940	1746	1988	1736	77	52	9	0	134	0	14	13	623	0	12
