sample,Year,CODE,region,pH_start,pH_inc,Name,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Ho,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pr,Rb,S,Sc,Se,Sm,Sn,Sr,Tb,Th,Ti,Tl,Tm,U,V,Y,Yb,Zn,Zr
P25812_1043,2020,LNU 20088:1,A4,7.18,3.35,LNU20088:2,0.25,90800,8,632,3.3,0.53,10400,0.2,129,19.1,73,9.21,40.2,7.1,4.1,1.57,55100,26,8.3,4.4,1.4,23200,63.7,51.7,0.6,18600,699,1.74,13500,11.6,55.4,46.6,530,30.9,14.8,177,3800,18,0.4,10,4,137,1.3,25.2,4540,1.22,0.6,7.1,120,38.1,3.9,131,163
P25812_1044,2020,LNU 20088:2,A4,7.48,4.1,LNU20088:1,0.25,90800,8,632,3.3,0.53,10400,0.2,129,19.1,73,9.21,40.2,7.1,4.1,1.57,55100,26,8.3,4.4,1.4,23200,63.7,51.7,0.6,18600,699,1.74,13500,11.6,55.4,46.6,530,30.9,14.8,177,3800,18,0.4,10,4,137,1.3,25.2,4540,1.22,0.6,7.1,120,38.1,3.9,131,163
P25812_1004,2020,LNU 20011:1,A1,7.75,2.5,LNU20011:1,0.17,64800,6.7,575,2,0.15,15400,0.05,71.3,13.1,68,2.73,25.5,4.4,2.5,1.16,40200,18.2,4.9,4.3,0.8,26300,33.5,23.5,0.4,12700,590,1.23,23200,13.4,32.6,31,840,13.8,8.4,99.6,10900,14,0.3,6.5,3,237,0.7,9.4,4400,0.51,0.3,2.4,83,22.7,2.3,65.8,164
P25812_1005,2020,LNU 20013:1,A1,6.7,2.84,LNU20013:1,0.17,67300,20.9,523,2,0.16,13400,0.2,90.8,18,82,2.95,32.9,5.2,3.1,1.31,88800,17.4,6.2,0.7,1.1,24000,46.8,28.5,0.4,14100,1990,4.35,16700,9.8,43.6,37.3,3070,13.6,11.5,95.1,12000,12,0.7,8.1,2,194,0.9,11.2,3620,0.55,0.5,5.2,120,28.6,2.9,97.2,53
P25812_1006,2020,LNU 20014:1,A1,6.63,3.16,LNU20014:1,0.09,83900,7.3,803,2.5,0.21,14900,0.2,95.9,18,95,4.75,38.2,5,3.1,1.27,48500,23.4,6,3,1,26900,45.3,39.7,0.4,15900,839,0.43,21500,0.8,41.6,43.4,940,19,11.1,117,3200,16,0.4,7.8,3,231,0.8,13.3,3410,0.81,0.4,3.3,79,28,2.8,94.8,110
P25812_1007,2020,LNU 20015:1,A1,7.3,3.71,LNU20015:1,0.09,87500,5.9,789,2.5,0.21,14700,0.2,96.5,18,64,4.77,40.1,4.9,3,1.28,46000,23.3,5.9,2,1,22800,45.2,37.6,0.4,15400,739,0.28,20200,0.6,41.4,41.4,950,19,10.9,107,1600,16,0.5,7.5,2,222,0.8,13.2,2600,0.81,0.4,3.4,76,27.8,2.8,96,75
P25812_1008,2020,LNU 20016:1,A1,7.13,2.01,LNU20016:1,0.21,68800,13.9,153,2.2,0.16,14900,0.2,85.5,15.2,59,3.51,29.6,5,2.9,1.21,45300,18,5.9,4.5,1,19500,41.3,27.9,0.4,13200,910,7.14,19400,15,39.4,35.6,870,16.1,10.3,104,18400,14,0.5,7,3,212,0.8,10.1,4400,0.65,0.4,4,93,28.5,2.9,85.7,175
P25812_1009,2020,LNU 20019:1,A1,6.69,2.08,LNU20019:1,0.18,67800,14.3,105,2.3,0.18,13800,0.05,83.2,12.9,71,3.17,22.9,5.4,3.2,1.16,41100,16.9,6,4.4,1.1,19700,38.2,25.7,0.4,11000,1020,4.52,19700,13.5,38.6,28.8,860,17.7,10.2,90.9,17200,13,0.5,8,3,196,0.9,9.2,4000,0.63,0.5,3.4,75,29.5,3.1,87.1,172
P25812_1010,2020,LNU 20020:1,A1,7.44,3.62,LNU20020:1,0.08,69700,3.1,755,1.7,0.12,15100,0.05,66.5,6.9,56,2.32,15.9,4.5,2.8,1.04,30600,17.7,5.1,3.8,0.9,24500,29.8,18.6,0.4,9900,478,0.36,22500,1.3,31.5,18.4,800,16.4,8.1,94.5,1400,12,0.3,6.1,2,233,0.7,9.1,2010,0.63,0.4,2.6,49,24.1,2.6,61.3,152
P25812_1011,2020,LNU 20021:1,A1,7.58,2.14,LNU20021:1,0.21,59600,10.8,248,1.8,0.17,13400,0.2,81.1,9,50,2.96,25.5,4.5,2.6,1.07,34800,15.2,5.4,4.7,0.9,18100,37.7,21.6,0.4,9300,425,2.05,17000,12.4,37.8,24.6,800,16.7,9.8,89.7,14200,12,0.7,6.9,3,207,0.8,11,3510,0.62,0.4,4.2,65,24.8,2.5,74.7,190
P25812_1012,2020,LNU 20022:1,A1,7.27,2.26,LNU20022:1,0.21,66300,7.6,636,2.1,0.16,14200,0.1,88.6,11.9,64,3.52,24.3,5.2,3.1,1.13,33000,18.6,6.1,5.1,1,27500,40.8,26.6,0.4,10100,675,7.78,19500,14.8,40,27.9,830,19.7,10.5,118,9600,13,0.5,7.1,3,211,0.9,12.5,4170,0.73,0.4,4.1,75,28.6,2.8,82.4,205
P25812_1013,2020,LNU 20023:1,A1,7.22,2.08,LNU20023:1,0.17,68400,6.7,608,1.8,0.12,14800,0.1,80.1,8.2,56,2.74,14.6,4.7,2.7,1.06,27500,17.3,5.6,5.7,1,26400,37,21.8,0.4,8100,486,2.96,21800,13.4,35.9,19.5,850,17.7,9.5,99.5,8900,12,0.3,6.8,3,216,0.8,10.5,3850,0.65,0.4,3.1,61,25.4,2.5,59.1,220
P25812_1014,2020,LNU 20024:1,A1,6.73,3.16,LNU20024:1,0.06,60700,2.1,510,2,0.15,15000,0.1,67.2,3.5,38,2.26,3.4,4,2.3,0.91,14200,14,4.8,0.1,0.8,18500,29.6,12.7,0.3,4500,329,0.27,20600,0.5,31,9.7,600,17.8,8.1,87.8,500,7,0.05,5.8,0.5,219,0.7,9.8,2500,0.71,0.3,2.4,32,20.5,2,28.1,4
P25812_1015,2020,LNU 20025:1,A1,7.91,2.26,LNU20025:1,0.11,65300,4.1,564,2.1,0.13,15100,0.1,75.7,7.9,56,3.11,14.2,4.5,2.5,1.05,25200,16.8,5.3,0.7,0.8,19400,34.1,21.8,0.4,8100,441,1.72,21200,6.8,34.5,19.4,690,18.4,9,95.8,6000,11,0.2,6.9,2,219,0.8,10.9,3530,0.72,0.4,3,57,23.8,2.4,58.8,57
P25812_1001,2020,LNU 20003:1,A4,5.9,3.17,LNU20003:1,0.09,58300,1.9,667,2.3,0.14,9100,0.1,98.9,5.2,22,2.08,6.5,5.3,3.1,1.19,15300,14,5.9,0.6,1,22500,42.9,11.7,0.5,3700,246,0.55,18000,4.3,39.4,13,430,14.9,10.6,95.7,1000,7,0.1,7.3,1,219,0.9,8,2730,0.63,0.5,3.9,36,30,3.1,38.8,57
P25812_1016,2020,LNU 20030:1,A2,6.99,2.64,LNU20030:1,0.22,70800,5.5,600,2.4,0.29,13000,0.1,99,11.1,69,5.7,19.4,5.4,2.9,1.2,38000,18.5,6.2,4.5,1,20700,43.5,34,0.4,11300,447,1.21,17700,13.2,43.7,27.3,810,25,11.3,119,6200,13,0.4,7.5,4,177,0.9,14,4180,0.87,0.4,3.7,78,26.4,2.8,89.2,181
P25812_1017,2020,LNU 20031:1,A2,6.44,2.281,LNU20031:1,0.21,65900,13.4,303,2.3,0.33,12500,0.1,90.5,11.7,63,5.17,26.1,5.6,3.2,1.11,39500,16.7,6.5,5,1.1,19700,40.9,32.7,0.4,9800,699,4.22,14700,13.5,40.9,30.7,770,21,10.7,115,13800,12,0.4,8.1,3,150,1,14.7,3800,0.82,0.5,4.2,77,31,3.1,85.9,182
P25812_1018,2020,LNU 20032:1,A2,7.12,2.32,LNU20032:1,0.26,71500,8.5,248,2.5,0.5,10800,0.2,112,14.5,53,6.89,26.8,6.2,3.3,1.38,38200,16.8,7.4,4.9,1.2,28900,49.7,42.1,0.4,11500,689,3.4,15100,17.9,50.5,38.6,920,23.9,13.2,161,14400,14,0.4,8.9,3,155,1.1,14.8,4600,0.91,0.5,4.5,86,30.7,3.1,105,177
P25812_1019,2020,LNU 20034:1,A2,7.59,2.505,LNU20034:1,0.22,63000,6.1,343,2.3,0.41,11600,0.1,90.9,11.5,59,5.57,27.7,5.1,2.9,1.14,33800,16.5,6.3,4.2,1,19400,41.4,33.5,0.4,10700,502,2.35,14200,11.4,41,34,860,21.9,10.8,116,12400,13,0.6,7.7,3,143,0.9,14.4,3840,0.8,0.4,3.9,73,27.1,2.8,86.8,158
