ASV_ID	P28659_1001	P28659_1002	P28659_1003	P28659_1004	P28659_1005	P28659_1006	P28659_1007	P28659_1008	P28659_1009	P28659_1010	P28659_1011	P28659_1012	P28659_1013	P28659_1014	P28659_1015	P28659_1016	P28659_1017	P28659_1018	P28659_1019	P28659_1020	P28659_1021	P28659_1022	P28659_1023	P28659_1024	P28659_1025	P28659_1026	P28659_1027	P28659_1028	P28659_1029	P28659_1030	P28659_1031	P28659_1032	P28659_1033	P28659_1034	P28659_1035	P28659_1036	P28659_1037	P28659_1038	P28659_1039	P28659_1040	P28659_1041	P28659_1042	P28659_1043	P28659_1044	P28659_1045	P28659_1046	P28659_1047	P28659_1048	P28659_1049	P28659_1050	P28659_1051	P28659_1052	P28659_1053	P28659_1054	P28659_1055	P28659_1056	P28659_1057	P28659_1058	P28659_1059	P28659_1060
a50baf9c4d6ab584bc3660ca54494a5d	52482	6475	74491	108815	159682	45642	171693	205337	145259	238978	181186	1059	42216	35514	111620	2182	275	543	74117	126	14842	1993	16121	282	457	66275	30019	120	270	167	281	211	51	96	115	48	96	34	113	90	22	54	65	31	56	9	73	47	44	95	113	41	92	30	117	93	62	94	7767	47
369906d432efb2e771efcab20af116bc	532	69	173	98	114	5467	116	160	279	387	102	124	80	120	298	116	167	227	118	92	746	114	121	74	194	38	0	113	91	180	0	0	185815	14006	21729	49279	90994	20718	21098	91113	76530	891	1242	616	1129	80156	126072	13231	182679	36361	170238	73343	13512	245917	19770	2943	96725	391	438	323
457b0d3173b746e56237d8b01e1d6317	298	145	209	164	215	24548	179	292	0	172	35	0	0	210	0	169	0	239	0	0	0	42	43	140	378	282	368	175	381	427	26486	52951	48519	35023	66188	5269	147301	3060	105134	72022	59683	8063	573	337	704	4701	12220	42223	20307	5048	9100	48707	1217	55585	4376	103073	34290	352	183	111
e62596b958e2af4e7b6976a0df672b37	15184	5927	40319	1453	4926	487	1525	1735	8154	1839	3670	103	39030	96927	11694	203	169	390	6270	85	18246	45812	2431	82	32297	17298	109374	144	325	418	278	220	52	41	121	0	35	68	0	0	31	26	63	0	23	65	14	0	33	18	100	0	0	76	0	0	397	367	156437	144
45449f5a9c9a54284e4ebe52c3cd3d0c	0	24	26	32	0	34	56	0	0	14	29	23	0	18	52	0	0	68	16	10	0	13	46	0	131	184	202	113	108	161	71366	187	251	360	49224	42404	256	55677	386	221	107	36342	136	72	113	92	157	80	101	18631	96	75	84	86	15039	81	0	776	42	21
47037e4ea52f2968e40892c3d4b37476	0	58	0	0	0	78	28	0	0	33	14	0	0	77	30	0	0	48	0	0	0	44	0	0	0	85	23	0	22	71	727	3864	969	500	3935	4803	440	88258	534	902	292	60355	159	108	123	922	198	136	1135	19594	4174	118	371	6005	42919	527	35	1509	25	0
059b7298be70028c3d7db1d3424a39e5	5575	1501	13073	404	1785	141	490	654	2393	833	1564	38	15425	36643	4799	73	51	73	2689	0	4581	15488	664	33	13387	5709	48388	60	133	172	119	109	0	0	62	0	0	31	0	0	0	0	25	0	0	0	0	0	0	0	37	0	0	0	0	0	163	140	62317	62
318669d5d926e9b81ca6911da00a14ea	93	53	83	118	71	15660	488	0	4986	0	231	62	572	2411	4318	0	0	0	0	52	2046	0	0	0	1812	394	0	89	0	37	0	0	31152	279	5770	83797	4418	590	531	439	281	89	130	229	114	3028	21012	1916	1097	4252	1419	5443	702	0	26379	141	967	0	82	131
987b07b51f215294b9ba396fc0da2eab	65	94	214	1403	144	10160	0	0	570	1007	106	0	39	86	1584	0	248	260	427	105	78025	216	4431	184	253	488	75128	130	264	299	205	189	1852	436	0	0	10575	0	0	0	0	0	97	0	117	375	3271	6979	302	0	507	2197	171	2361	0	133	3548	0	5177	0
a8704d172fe38a94416b15f4b65d777b	57937	58401	23149	1089	890	949	502	511	714	1148	889	13	202	115	549	15	35	352	645	0	226	28	311	7	1229	2818	2455	7	14	13	14	23	62	47	26	0	0	0	0	0	15	31	0	0	0	0	0	0	50	37	33	0	0	0	0	0	47	61	343	3
